Curcumin Nano Particle,,9 micro L,,10 micro L,,20 micro L,,30 micro L,,40 micro L,,50 micro L,,60 micro L,,70 micro L,,80 micro L,,90 micro L,,,,,
271,,321,,321,,321,,271,,321,,321,,321,,321,,321,,321,,,,,
D1 420:430-700,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-700,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,,,,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,,,,
556.097,38445.8,556.097,40201.6,556.097,39966.7,556.097,41866.9,556.097,44014.6,556.097,50441,556.097,56209,556.097,58929.3,556.097,62675.8,556.097,66367.4,556.097,68345.3,,,,
557.083,39650.2,557.083,40508,557.083,40344.5,557.083,42654.1,557.083,45642.2,557.083,50933.9,557.083,54922.4,557.083,57475.9,557.083,59475.8,557.083,63802.2,557.083,65684.4,,,,
558.07,39772.7,558.07,38007.1,558.07,40079,558.07,42511,558.07,45468.2,558.07,49773.8,558.07,55931,558.07,57929.4,558.07,61508.8,558.07,63213.1,558.07,66543.3,,,,
559.056,39017.3,559.056,37925.5,559.056,40252.6,559.056,41672.7,559.056,45847.1,559.056,48737.5,559.056,53605.7,559.056,56868.1,559.056,61044.2,559.056,64908.5,559.056,66481.2,,,,
560.042,38221.4,560.042,37527.7,560.042,40559,560.042,41509.2,560.042,44209,560.042,47906.9,560.042,52803.8,560.042,56353.2,560.042,58867.4,560.042,63605.8,560.042,63368.1,,,,
561.029,37517.5,561.029,37497.1,561.029,40232.2,561.029,41539.9,561.029,43267.7,561.029,47004.8,561.029,53780.5,561.029,55025.3,561.029,59919.4,561.029,61808.2,561.029,62180,,,,
562.015,38007.1,562.015,37089.3,562.015,39701.2,562.015,41437.7,562.015,43206.4,562.015,47681.3,562.015,51396,562.015,55560.4,562.015,56940.2,562.015,62076.7,562.015,61777.2,,,,
563.002,37130,563.002,37680.7,563.002,38466.2,563.002,40028,563.002,42347.4,563.002,47988.9,563.002,51467.9,563.002,54747.4,563.002,57239,563.002,61539.7,563.002,61901.1,,,,
563.988,36650.9,563.988,36436.8,563.988,38547.8,563.988,40048.4,563.988,42572.3,563.988,46625.6,563.988,50143.3,563.988,55272.2,563.988,56631.2,563.988,60074.1,563.988,60910,,,,
564.974,37089.3,564.974,35448.4,564.974,37119.8,564.974,39864.6,564.974,41662.5,564.974,46133.9,564.974,51560.4,564.974,53903.9,564.974,56023.7,564.974,57506.9,564.974,60187.6,,,,
565.961,36742.6,565.961,35580.8,565.961,38037.7,565.961,37792.9,565.961,40313.9,565.961,46533.4,565.961,50030.4,565.961,51046.8,565.961,56167.8,565.961,57208.1,565.961,59517.1,,,,
566.947,36467.4,566.947,34419.7,566.947,36538.7,566.947,40170.9,566.947,40722.5,566.947,44925.5,566.947,48542.7,566.947,50708,566.947,54191.9,566.947,57651.1,566.947,58166.4,,,,
567.934,36141.3,567.934,36131.1,567.934,36752.8,567.934,37915.3,567.934,39874.8,567.934,43042.7,567.934,49886.7,567.934,52166.6,567.934,53687.9,567.934,58630.3,567.934,56765.1,,,,
568.92,36365.5,568.92,33249.1,568.92,34827,568.92,38384.6,568.92,39435.8,568.92,43349.6,568.92,48819.6,568.92,51108.5,568.92,53091.6,568.92,55509,568.92,57115.4,,,,
569.906,35142.8,569.906,34664.1,569.906,35183.5,569.906,37548.1,569.906,39711.4,569.906,43145,569.906,47015.1,569.906,49814.9,569.906,55704.6,569.906,54798.9,569.906,56888.7,,,,
570.893,34796.5,570.893,33055.8,570.893,36436.8,570.893,37894.9,570.893,38813.2,570.893,40906.4,570.893,48204.2,570.893,49065.8,570.893,52125.5,570.893,51971.3,570.893,54757.7,,,,
571.879,34419.7,571.879,33066,571.879,35957.8,571.879,37262.6,571.879,38180.5,571.879,42378.1,571.879,46871.6,571.879,48296.5,571.879,52259,571.879,52156.3,571.879,53040.2,,,,
573.112,33391.6,573.112,31011.8,573.112,34511.4,573.112,35275.2,573.112,37599.1,573.112,40201.6,573.112,43953.2,573.112,47404.5,573.112,47804.3,573.112,50276.8,573.112,51848,,,,
574.099,33381.4,574.099,30717,574.099,35040.9,574.099,35051.1,574.099,36192.2,574.099,38874.4,574.099,43308.7,574.099,46666.6,574.099,47732.6,574.099,50574.5,574.099,49424.9,,,,
575.085,34012.5,575.085,29782.3,575.085,34653.9,575.085,35886.5,575.085,36793.6,575.085,38629.5,575.085,42838.2,575.085,45068.8,575.085,47558.3,575.085,49517.3,575.085,49117.1,,,,
576.071,32862.5,576.071,28797.3,576.071,33116.9,576.071,34226.3,576.071,34969.6,576.071,38649.9,576.071,43267.7,576.071,44116.9,576.071,47988.9,576.071,48676,576.071,48624.7,,,,
577.058,32770.9,577.058,29670.6,577.058,33340.7,577.058,33839.4,577.058,35489.1,577.058,37599.1,577.058,41826,577.058,43625.8,577.058,46820.3,577.058,48009.4,577.058,47742.8,,,,
578.044,34277.2,578.044,28127.3,578.044,33483.2,578.044,33249.1,578.044,34572.5,578.044,36508.2,578.044,41304.8,578.044,43503,578.044,45847.1,578.044,46912.6,578.044,47742.8,,,,
579.031,32435.3,579.031,26940.3,579.031,32384.4,579.031,32760.8,579.031,33320.4,579.031,35998.6,579.031,40426.3,579.031,42040.7,579.031,45263.4,579.031,46297.8,579.031,46092.9,,,,
580.017,32526.8,580.017,28259.3,580.017,32587.8,580.017,32303,580.017,33676.6,580.017,36171.8,580.017,38915.2,580.017,42562.1,580.017,44444.4,580.017,46810.1,580.017,45734.4,,,,
581.003,31652.2,581.003,26838.9,581.003,31123.6,581.003,32231.8,581.003,32770.9,581.003,35672.5,581.003,38537.6,581.003,41161.8,581.003,42572.3,581.003,45417,581.003,43789.5,,,,
581.99,31530.2,581.99,26281.1,581.99,31133.7,581.99,31601.4,581.99,32303,581.99,35611.4,581.99,38496.8,581.99,39313.3,581.99,42449.6,581.99,43994.1,581.99,43329.1,,,,
582.976,31204.9,582.976,25510.7,582.976,30534.1,582.976,30666.2,582.976,31814.9,582.976,34165.2,582.976,37894.9,582.976,40589.7,582.976,42091.8,582.976,42572.3,582.976,42868.9,,,,
583.963,31642,583.963,25206.7,583.963,30696.7,583.963,31682.7,583.963,31164.2,583.963,34073.6,583.963,37925.5,583.963,39435.8,583.963,40548.8,583.963,43185.9,583.963,42326.9,,,,
584.949,30940.6,584.949,25531,584.949,30950.8,584.949,29762,584.949,32384.4,584.949,33676.6,584.949,35896.7,584.949,38180.5,584.949,40119.9,584.949,42296.3,584.949,39384.7,,,,
585.935,30605.2,585.935,25885.8,585.935,29122.2,585.935,28716.1,585.935,29853.4,585.935,32008.1,585.935,36100.5,585.935,39415.4,585.935,40293.5,585.935,39813.5,585.935,41110.7,,,,
586.922,29680.7,586.922,23798.7,586.922,28716.1,586.922,28888.7,586.922,29173,586.922,32191.2,586.922,35326.1,586.922,36987.3,586.922,39844.2,586.922,40119.9,586.922,40385.4,,,,
587.908,29558.9,587.908,23565.8,587.908,28573.9,587.908,27883.8,587.908,28655.2,587.908,32475.9,587.908,34246.6,587.908,35937.4,587.908,38088.7,587.908,39027.5,587.908,38211.2,,,,
588.895,28969.9,588.895,23626.6,588.895,28066.4,588.895,28005.6,588.895,28929.3,588.895,30737.4,588.895,33920.9,588.895,35122.4,588.895,37293.2,588.895,39282.7,588.895,37894.9,,,,
589.881,28584.1,589.881,22270.3,589.881,27538.8,589.881,28167.9,589.881,28442,589.881,31418.4,589.881,34307.7,589.881,34949.3,589.881,37670.5,589.881,37262.6,589.881,36773.2,,,,
591.114,27538.8,591.114,23353.2,591.114,26514.4,591.114,27234.5,591.114,28249.1,591.114,29406.5,591.114,33004.9,591.114,35794.8,591.114,38037.7,591.114,38527.4,591.114,38058.1,,,,
592.1,27264.9,592.1,24092.4,592.1,27528.7,592.1,25784.4,592.1,28969.9,592.1,29741.7,592.1,32740.4,592.1,34725.2,592.1,37629.7,592.1,37323.8,592.1,34368.8,,,,
593.087,25835.1,593.087,22988.8,593.087,27011.3,593.087,26737.5,593.087,26676.6,593.087,29944.8,593.087,32231.8,593.087,34633.6,593.087,35662.3,593.087,36192.2,593.087,34928.9,,,,
594.073,27488.1,594.073,21612.7,594.073,26402.8,594.073,26565.1,594.073,26899.7,594.073,28837.9,594.073,31804.7,594.073,33350.9,594.073,35733.6,594.073,34043,594.073,31835.2,,,,
595.06,25956.7,595.06,21734.1,595.06,24720.4,595.06,25389.1,595.06,26889.6,595.06,29173,595.06,31021.9,595.06,32577.7,595.06,33452.7,595.06,35173.3,595.06,33025.3,,,,
596.046,26565.1,596.046,21339.7,596.046,25348.6,596.046,25176.3,596.046,24517.8,596.046,26615.8,596.046,31286.2,596.046,32943.9,596.046,34317.9,596.046,34572.5,596.046,32181,,,,
597.032,25622.2,597.032,20844.2,597.032,24771,597.032,24021.5,597.032,24568.4,597.032,27112.7,597.032,29650.3,597.032,30188.7,597.032,33544.3,597.032,32557.3,597.032,32150.5,,,,
598.019,25987.1,598.019,20884.6,598.019,24679.8,598.019,25024.3,598.019,25764.1,598.019,27670.7,598.019,29284.7,598.019,31245.5,598.019,32689.6,598.019,33228.8,598.019,30645.9,,,,
599.005,26402.8,599.005,19287.8,599.005,24760.9,599.005,23100.1,599.005,23737.9,599.005,26260.9,599.005,28837.9,599.005,29132.3,599.005,30564.6,599.005,31113.4,599.005,29660.4,,,,
599.992,24153.1,599.992,19782.9,599.992,23211.5,599.992,23353.2,599.992,22685.2,599.992,25297.9,599.992,28746.5,599.992,29173,599.992,29894,599.992,31154.1,599.992,30361.4,,,,
600.978,24446.9,600.978,19126.2,600.978,22988.8,600.978,23252,600.978,22877.4,600.978,24517.8,600.978,27264.9,600.978,28827.7,600.978,30747.5,600.978,29741.7,600.978,29162.8,,,,
601.964,23272.2,601.964,19692,601.964,22260.2,601.964,22351.2,601.964,23049.5,601.964,23910.1,601.964,26027.7,601.964,28472.4,601.964,29416.7,601.964,29985.5,601.964,28645,,,,
602.951,23322.8,602.951,17884.2,602.951,21987,602.951,21531.8,602.951,22745.9,602.951,22664.9,602.951,26382.5,602.951,26362.3,602.951,27812.8,602.951,27995.4,602.951,27569.2,,,,
603.937,21562.2,603.937,16965.8,603.937,21076.7,603.937,20793.6,603.937,22756,603.937,22958.4,603.937,25622.2,603.937,26311.6,603.937,28188.2,603.937,27853.3,603.937,26463.7,,,,
604.924,22857.2,604.924,17329,604.924,20813.9,604.924,19934.5,604.924,21228.4,604.924,22381.6,604.924,25551.3,604.924,25379,604.924,27548.9,604.924,27883.8,604.924,25166.2,,,,
605.91,23039.4,605.91,15452.9,605.91,21289.1,605.91,19469.7,605.91,21097,605.91,22472.6,605.91,23009,605.91,26331.8,605.91,26189.9,605.91,26260.9,605.91,24538,,,,
606.896,21602.6,606.896,15624.3,606.896,19772.8,606.896,19611.1,606.896,20177,606.896,21855.5,606.896,23940.5,606.896,23434.2,606.896,26169.6,606.896,26565.1,606.896,24943.3,,,,
607.883,20540.9,607.883,15815.9,607.883,18631.3,607.883,19136.3,607.883,19207,607.883,21238.5,607.883,23211.5,607.883,24153.1,607.883,25085.1,607.883,25662.8,607.883,24771,,,,
609.116,20621.8,609.116,14676.8,609.116,19409.1,609.116,18227.4,609.116,17793.3,609.116,20460,609.116,22381.6,609.116,22604.2,609.116,23373.4,609.116,23940.5,609.116,22209.6,,,,
610.102,21663.3,610.102,14223.3,610.102,18429.4,610.102,18166.8,610.102,18924.2,610.102,18843.4,610.102,20975.6,610.102,21734.1,610.102,23363.3,610.102,22644.7,610.102,22290.5,,,,
611.089,20025.4,611.089,13639,611.089,18742.4,611.089,17329,611.089,17874.1,611.089,19621.2,611.089,20834.1,611.089,20702.7,611.089,22563.7,611.089,22847.1,611.089,21228.4,,,,
612.075,18994.9,612.075,14505.4,612.075,18055.8,612.075,17985.1,612.075,17985.1,612.075,18590.9,612.075,19782.9,612.075,21410.5,612.075,20904.9,612.075,21349.8,612.075,19732.4,,,,
613.061,18348.6,613.061,12984.4,613.061,17581.3,613.061,16895.1,613.061,17238.2,613.061,18378.9,613.061,19510.1,613.061,19995.1,613.061,20439.8,613.061,21501.5,613.061,20237.7,,,,
614.048,18893.9,614.048,12209.3,614.048,16703.4,614.048,16360.5,614.048,17571.3,614.048,18015.4,614.048,19075.7,614.048,19176.7,614.048,20207.3,614.048,20187.1,614.048,18914.1,,,,
615.034,18136.5,615.034,12611.9,615.034,16350.4,615.034,16017.6,615.034,16219.3,615.034,17702.5,615.034,18560.6,615.034,18924.2,615.034,19469.7,615.034,19671.8,615.034,19419.2,,,,
616.021,17510.7,616.021,12118.7,616.021,15967.1,616.021,16158.8,616.021,15876.4,616.021,17288.7,616.021,17228.1,616.021,19833.4,616.021,20045.6,616.021,20096.2,616.021,18368.8,,,,
617.007,17752.9,617.007,11213.2,617.007,15715,617.007,15412.6,617.007,15452.9,617.007,15503.3,617.007,17258.4,617.007,18540.4,617.007,18207.2,617.007,19580.8,617.007,17349.2,,,,
617.993,16955.7,617.993,11414.4,617.993,15291.6,617.993,15301.7,617.993,14031.9,617.993,15674.7,617.993,16431.1,617.993,18449.5,617.993,18055.8,617.993,18590.9,617.993,17369.4,,,,
618.98,15573.9,618.98,10961.7,618.98,14747.3,618.98,14314,618.98,13971.4,618.98,15170.6,618.98,15886.5,618.98,16824.5,618.98,17652,618.98,17975,618.98,15866.3,,,,
619.966,16441.2,619.966,10881.2,619.966,14162.9,619.966,13548.4,619.966,14485.3,619.966,15513.4,619.966,16673.2,619.966,16229.4,619.966,17056.6,619.966,17197.8,619.966,16047.8,,,,
620.953,16189,620.953,9926.01,620.953,14193.1,620.953,13437.6,620.953,14042,620.953,15422.6,620.953,14838,620.953,15412.6,620.953,16683.3,620.953,17096.9,620.953,15432.7,,,,
621.939,15422.6,621.939,9373.2,621.939,13548.4,621.939,12289.8,621.939,14031.9,621.939,14626.4,621.939,15291.6,621.939,15846.1,621.939,16148.7,621.939,16219.3,621.939,14717.1,,,,
622.925,14888.4,622.925,10277.9,622.925,13568.5,622.925,12561.6,622.925,12924,622.925,14263.6,622.925,14535.7,622.925,14989.2,622.925,15442.8,622.925,16219.3,622.925,14455.1,,,,
623.912,14767.5,623.912,9755.12,623.912,12370.4,623.912,12591.8,623.912,12048.3,623.912,14112.5,623.912,14193.1,623.912,15210.9,623.912,15422.6,623.912,15694.9,623.912,13588.7,,,,
624.898,13175.8,624.898,9001.4,624.898,12269.7,624.898,12179.1,624.898,11998,624.898,12813.3,624.898,13387.2,624.898,14555.8,624.898,14576,624.898,15473.1,624.898,13739.8,,,,
625.885,13467.8,625.885,8539.26,625.885,12531.4,625.885,11394.3,625.885,11736.3,625.885,12430.7,625.885,13115.3,625.885,14112.5,625.885,13759.9,625.885,14646.5,625.885,12944.2,,,,
627.118,12521.3,627.118,8519.17,627.118,11394.3,627.118,11394.3,627.118,11575.3,627.118,12722.7,627.118,12148.9,627.118,12903.9,627.118,13850.6,627.118,14445,627.118,12279.8,,,,
628.104,13165.7,628.104,7715.73,628.104,11052.2,628.104,10468.9,628.104,11756.5,628.104,12189.2,628.104,12450.9,628.104,13014.7,628.104,14193.1,628.104,13588.7,628.104,12259.6,,,,
629.09,13407.4,629.09,7775.97,629.09,10479,629.09,10086.9,629.09,10026.5,629.09,11796.7,629.09,11545.2,629.09,12491.1,629.09,13588.7,629.09,12652.2,629.09,11585.4,,,,
630.077,11927.5,630.077,7796.06,630.077,10358.3,630.077,10911.4,630.077,10117,630.077,11384.2,630.077,10649.9,630.077,11525,630.077,11665.9,630.077,12299.9,630.077,11565.3,,,,
631.063,11484.8,631.063,7233.83,631.063,10066.7,631.063,9865.69,631.063,9624.45,631.063,11203.1,631.063,11233.3,631.063,11595.5,631.063,12138.9,631.063,11967.8,631.063,10841,,,,
632.05,11303.7,632.05,6952.77,632.05,10137.1,632.05,8800.45,632.05,9574.2,632.05,10730.4,632.05,11243.4,632.05,10881.2,632.05,11082.4,632.05,11273.5,632.05,10388.5,,,,
633.036,11343.9,633.036,7043.11,633.036,9503.85,633.036,8840.64,633.036,9594.3,633.036,10267.8,633.036,10589.6,633.036,10871.2,633.036,12350.2,633.036,11122.6,633.036,10036.6,,,,
634.022,11112.6,634.022,5839.01,634.022,9101.88,634.022,8699.99,634.022,9202.36,634.022,10358.3,634.022,9885.8,634.022,10951.6,634.022,10187.4,634.022,11012,634.022,9674.71,,,,
635.009,10740.4,635.009,6139.97,635.009,8840.64,635.009,8448.85,635.009,8770.31,635.009,9554.1,635.009,9785.28,635.009,10991.9,635.009,9714.91,635.009,10690.2,635.009,9574.2,,,,
635.995,10348.3,635.995,6270.39,635.995,8499.08,635.995,8378.54,635.995,7826.18,635.995,9735.02,635.995,9312.9,635.995,9584.25,635.995,9584.25,635.995,10026.5,635.995,9564.15,,,,
636.982,9785.28,636.982,6310.53,636.982,8689.94,636.982,7494.84,636.982,7906.51,636.982,9443.54,636.982,8880.83,636.982,10318.1,636.982,10177.3,636.982,9413.39,636.982,8529.21,,,,
637.968,9162.17,637.968,6129.93,637.968,8057.15,637.968,8127.45,637.968,8047.11,637.968,9162.17,637.968,9433.49,637.968,9001.4,637.968,8579.44,637.968,9192.31,637.968,8438.81,,,,
638.954,9423.44,638.954,5969.42,638.954,7806.1,638.954,7243.87,638.954,8137.49,638.954,9101.88,638.954,8117.41,638.954,9051.63,638.954,9212.41,638.954,8699.99,638.954,8609.58,,,,
639.941,8639.71,639.941,5798.89,639.941,7615.32,639.941,7073.22,639.941,7796.06,639.941,8308.23,639.941,8800.45,639.941,8187.71,639.941,8529.21,639.941,9091.83,639.941,7223.79,,,,
640.927,8921.02,640.927,4996.6,640.927,7213.75,640.927,7063.18,640.927,7093.3,640.927,7976.81,640.927,7334.21,640.927,7976.81,640.927,8308.23,640.927,8800.45,640.927,6892.56,,,,
641.914,8197.75,641.914,5066.79,641.914,7344.25,641.914,6782.16,641.914,6661.73,641.914,8087.28,641.914,7314.14,641.914,7936.64,641.914,8268.06,641.914,8619.62,641.914,6501.17,,,,
642.9,7996.89,642.9,4685.81,642.9,6471.07,642.9,6561.38,642.9,6481.1,642.9,7153.52,642.9,7775.97,642.9,7504.88,642.9,7846.26,642.9,7454.68,642.9,6862.45,,,,
643.886,7725.77,643.886,4435.2,643.886,6230.26,643.886,6190.13,643.886,6009.55,643.886,6731.98,643.886,7294.06,643.886,7424.56,643.886,7083.26,643.886,7695.65,643.886,6611.55,,,,
645.119,7645.44,645.119,4385.09,645.119,6440.97,645.119,6190.13,645.119,6099.84,645.119,7133.45,645.119,6691.84,645.119,7615.32,645.119,7213.75,645.119,6852.41,645.119,6009.55,,,,
646.106,7474.76,646.106,4304.9,646.106,5919.26,646.106,5598.29,646.106,5728.68,646.106,6139.97,646.106,7033.07,646.106,6601.52,646.106,6972.85,646.106,6882.52,646.106,5758.77,,,,
647.092,7183.64,647.092,4074.39,647.092,5979.45,647.092,5668.5,647.092,5477.93,647.092,6129.93,647.092,5849.04,647.092,6129.93,647.092,6330.59,647.092,6832.34,647.092,5718.65,,,,
648.079,6551.34,648.079,3763.75,648.079,5678.53,648.079,5518.05,648.079,5558.17,648.079,5758.77,648.079,5317.48,648.079,6109.87,648.079,6139.97,648.079,5889.17,648.079,5678.53,,,,
649.065,6661.73,649.065,4004.24,649.065,5467.91,649.065,4665.76,649.065,5247.28,649.065,5818.95,649.065,5698.59,649.065,5999.52,649.065,6109.87,649.065,6059.71,649.065,5026.68,,,,
650.051,6481.1,650.051,3633.49,650.051,5297.42,650.051,4675.78,650.051,5106.9,650.051,5728.68,650.051,5919.26,650.051,5658.47,650.051,5518.05,650.051,5989.48,650.051,4665.76,,,,
651.038,5899.2,651.038,3633.49,651.038,5147.01,651.038,4395.11,651.038,5387.68,651.038,5387.68,651.038,5698.59,651.038,5397.7,651.038,5086.84,651.038,5798.89,651.038,4655.73,,,,
652.024,6320.56,652.024,3262.82,652.024,4896.34,652.024,4495.35,652.024,4916.39,652.024,5167.06,652.024,4886.31,652.024,5487.96,652.024,5327.51,652.024,5678.53,652.024,4675.78,,,,
653.011,5387.68,653.011,3082.51,653.011,4224.72,653.011,4425.18,653.011,4415.16,653.011,4896.34,653.011,4595.59,653.011,4856.24,653.011,5056.76,653.011,5126.95,653.011,4665.76,,,,
653.997,5678.53,653.997,3332.94,653.997,4605.61,653.997,4064.37,653.997,4896.34,653.997,4605.61,653.997,4224.72,653.997,4575.54,653.997,4886.31,653.997,4695.83,653.997,4134.52,,,,
654.983,5477.93,654.983,3002.39,654.983,4425.18,654.983,3964.16,654.983,3773.77,654.983,5016.66,654.983,4435.2,654.983,4515.39,654.983,4595.59,654.983,4806.11,654.983,4294.88,,,,
655.97,4776.03,655.97,2611.81,655.97,4415.16,655.97,3713.65,655.97,3944.12,655.97,4665.76,655.97,4344.99,655.97,4525.42,655.97,4334.97,655.97,4685.81,655.97,3934.09,,,,
656.956,5157.03,656.956,2561.74,656.956,3833.89,656.956,3783.79,656.956,3843.91,656.956,4294.88,656.956,3974.18,656.956,4154.57,656.956,4134.52,656.956,4344.99,656.956,3553.34,,,,
657.943,4846.21,657.943,2271.37,657.943,3924.07,657.943,3673.57,657.943,3793.81,657.943,4104.46,657.943,3924.07,657.943,4054.35,657.943,3743.71,657.943,4324.95,657.943,3443.14,,,,
658.929,4385.09,658.929,2721.96,658.929,3483.21,658.929,3222.75,658.929,3663.55,658.929,3663.55,658.929,3883.99,658.929,3914.05,658.929,3894.01,658.929,4134.52,658.929,3543.32,,,,
659.915,4916.39,659.915,2481.63,659.915,3102.55,659.915,3523.28,659.915,3272.83,659.915,3703.63,659.915,3332.94,659.915,3944.12,659.915,3533.3,659.915,3653.53,659.915,3002.39,,,,
660.902,4154.57,660.902,2421.55,660.902,3373.01,660.902,3463.17,660.902,3332.94,660.902,3513.27,660.902,3513.27,660.902,3473.19,660.902,3292.87,660.902,3302.89,660.902,2892.21,,,,
661.888,4204.68,661.888,2271.37,661.888,3072.5,661.888,2922.26,661.888,2972.34,661.888,3473.19,661.888,3373.01,661.888,3182.68,661.888,3553.34,661.888,3533.3,661.888,2822.11,,,,
663.121,3924.07,663.121,1981.04,663.121,2882.2,663.121,2691.92,663.121,3252.8,663.121,3914.05,663.121,3012.4,663.121,3483.21,663.121,3152.63,663.121,3413.08,663.121,2501.66,,,,
664.108,3683.59,664.108,1870.93,664.108,3032.43,664.108,2762.02,664.108,2862.17,664.108,2982.35,664.108,2701.93,664.108,2772.03,664.108,2942.29,664.108,3032.43,664.108,2421.55,,,,
665.094,3393.05,665.094,2141.21,665.094,3092.53,665.094,2792.06,665.094,2701.93,665.094,2772.03,665.094,3092.53,665.094,2952.31,665.094,2832.12,665.094,2721.96,665.094,2641.85,,,,
666.08,3583.4,666.08,1750.81,666.08,2822.11,666.08,2691.92,666.08,2351.46,666.08,2772.03,666.08,2952.31,666.08,2741.99,666.08,2461.6,666.08,2802.08,666.08,2361.48,,,,
667.067,3733.69,667.067,2101.17,667.067,2081.15,667.067,2701.93,667.067,3002.39,667.067,2942.29,667.067,2721.96,667.067,2451.59,667.067,2381.5,667.067,2371.49,667.067,2081.15,,,,
668.053,3032.43,668.053,1620.7,668.053,2641.85,668.053,2351.46,668.053,2711.95,668.053,2591.78,668.053,2591.78,668.053,2541.71,668.053,2621.82,668.053,2421.55,668.053,2001.06,,,,
669.04,2922.26,669.04,1570.65,669.04,2141.21,669.04,2121.19,669.04,2401.53,669.04,2601.79,669.04,2131.2,669.04,2521.68,669.04,1991.05,669.04,2301.4,669.04,2191.27,,,,
670.026,2922.26,670.026,1530.62,670.026,2311.41,670.026,2091.16,670.026,2471.62,670.026,2651.86,670.026,2221.31,670.026,2131.2,670.026,2121.19,670.026,2521.68,670.026,1850.91,,,,
671.012,2631.83,671.012,1280.43,671.012,2091.16,671.012,1830.89,671.012,2101.17,671.012,2211.29,671.012,2271.37,671.012,2251.34,671.012,2261.35,671.012,2331.44,671.012,1770.83,,,,
671.999,2812.09,671.999,1900.96,671.999,2251.34,671.999,1930.99,671.999,2051.11,671.999,2471.62,671.999,2101.17,671.999,2571.75,671.999,2001.06,671.999,2221.31,671.999,1890.95,,,,
672.985,2531.7,672.985,1360.49,672.985,1981.04,672.985,1720.78,672.985,1951.01,672.985,2511.67,672.985,1920.98,672.985,1951.01,672.985,2071.14,672.985,2221.31,672.985,1870.93,,,,
673.972,2381.5,673.972,1320.46,673.972,2121.19,673.972,1690.76,673.972,1961.02,673.972,2131.2,673.972,1660.73,673.972,1951.01,673.972,2251.34,673.972,1740.8,673.972,1500.6,,,,
674.958,2621.82,674.958,1190.38,674.958,1750.81,674.958,2141.21,674.958,1820.88,674.958,2191.27,674.958,1930.99,674.958,1690.76,674.958,1710.78,674.958,1700.77,674.958,1620.7,,,,
675.944,2371.49,675.944,1240.41,675.944,1780.84,675.944,1460.56,675.944,1961.02,675.944,2181.26,675.944,1860.92,675.944,1740.8,675.944,1770.83,675.944,1640.71,675.944,1380.5,,,,
676.931,2421.55,676.931,1110.33,676.931,1660.73,676.931,1540.63,676.931,1600.68,676.931,2151.23,676.931,1991.05,676.931,1840.9,676.931,1620.7,676.931,1770.83,676.931,1430.54,,,,
677.917,2401.53,677.917,1230.4,677.917,1520.61,677.917,1520.61,677.917,1480.58,677.917,2001.06,677.917,1690.76,677.917,1610.69,677.917,1460.56,677.917,1630.7,677.917,1250.41,,,,
678.904,1890.95,678.904,1140.34,678.904,1420.53,678.904,1340.48,678.904,1550.64,678.904,1610.69,678.904,1450.56,678.904,1510.6,678.904,1240.41,678.904,1510.6,678.904,1310.45,,,,
679.89,2001.06,679.89,860.196,679.89,1480.58,679.89,1330.47,679.89,1360.49,679.89,1400.52,679.89,1230.4,679.89,1500.6,679.89,1570.65,679.89,1370.5,679.89,1090.31,,,,
681.123,1800.86,681.123,880.205,681.123,1650.72,681.123,1500.6,681.123,1290.44,681.123,1670.74,681.123,1130.34,681.123,1400.52,681.123,1250.41,681.123,1350.48,681.123,1080.31,,,,
682.109,1550.64,682.109,960.244,682.109,1320.46,682.109,1560.65,682.109,1550.64,682.109,1510.6,682.109,1210.39,682.109,1110.33,682.109,1160.36,682.109,1220.39,682.109,980.255,,,,
683.096,1900.96,683.096,1090.31,683.096,1560.65,683.096,1290.44,683.096,1380.5,683.096,1510.6,683.096,1390.51,683.096,1050.29,683.096,1270.43,683.096,1510.6,683.096,810.174,,,,
684.082,1910.97,684.082,1110.33,684.082,1330.47,684.082,1240.41,684.082,1510.6,684.082,1460.56,684.082,1230.4,684.082,1040.29,684.082,1170.36,684.082,1080.31,684.082,820.178,,,,
685.069,1600.68,685.069,900.215,685.069,1160.36,685.069,1140.34,685.069,1070.3,685.069,1410.53,685.069,1180.37,685.069,1270.43,685.069,1210.39,685.069,1220.39,685.069,830.183,,,,
686.055,2021.08,686.055,830.183,686.055,1040.29,686.055,1180.37,686.055,1310.45,686.055,1370.5,686.055,1080.31,686.055,1050.29,686.055,850.191,686.055,1010.27,686.055,870.201,,,,
687.041,1720.78,687.041,780.161,687.041,1050.29,687.041,990.26,687.041,1110.33,687.041,1100.32,687.041,1080.31,687.041,1000.27,687.041,1030.28,687.041,1230.4,687.041,730.141,,,,
688.028,1440.55,688.028,960.244,688.028,1090.31,688.028,900.215,688.028,1140.34,688.028,1090.31,688.028,1130.34,688.028,1070.3,688.028,920.224,688.028,1170.36,688.028,650.112,,,,
689.014,1470.57,689.014,800.17,689.014,1060.3,689.014,860.196,689.014,1160.36,689.014,1230.4,689.014,1040.29,689.014,1000.27,689.014,700.13,689.014,1080.31,689.014,810.174,,,,
